"school_name","school_type","city","telephone0","telephone1","fax","website","email","formation_type","network_type","level","administrative_region","language","code","schoolboard","manager","address","city_province","postal_code"
"École primaire d'Ayer's Cliff","Préscolaire et primaire (public)","Ayer's Cliff","(819) 838-4983","(819) 838-4983","(819) 838-1385","http://ayerscliff.etsb.qc.ca/","channellg@etsb.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Anglais","883002","Commission scolaire Eastern Townships","Steve Weary","952, rue Sanborn","Ayer's Cliff (Québec)","J0B 1C0"
"École Saint-Barthélemy","Préscolaire et primaire (public)","Ayer's Cliff","(819) 847-1610","(819) 847-1610","(819) 838-4997","http://csdessommets.qc.ca/ecoles/bart/index.html","stbarthelemy@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753034","Commission scolaire des Sommets","Jocelyne Morel","206, rue Rosedale","Ayer's Cliff (Québec)","J0B 1C0"
"École Notre-Dame-de-Bonsecours","Préscolaire et primaire (public)","Bonsecours","(819) 847-1610","(819) 847-1610","(450) 532-5262","","ndbonsecours@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753060","Commission scolaire des Sommets","Paul Lessard","601, rue du Couvent","Bonsecours (Québec)","J0E 1H0"
"École primaire Pope Memorial","Préscolaire et primaire (public)","Bury","(819) 872-3771","(819) 872-3771","(819) 872-3771","http://pope.etsb.qc.ca/","lower@etsb.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Anglais","883014","Commission scolaire Eastern Townships","Norma Humphrey","523, rue Stokes","Bury (Québec)","J0B 1J0"
"Centre de formation professionnelle de Coaticook (CRIFA)","Formation professionnelle (public)","Coaticook","(819) 849-9588","(819) 849-9588","(819) 849-3682","","Lison.Pouliot@cshc.qc.ca","Professionnelle","Public","Formation professionnelle","Estrie","Français","751423","Commission scolaire des Hauts-Cantons","Benoît Rousseau","125, rue Morgan","Coaticook (Québec)","J1A 1V6"
"Collège Rivier","Secondaire (privé)","Coaticook","(819) 849-4833","(819) 849-4833","(819) 849-3621","http://www.crivier.qc.ca","crivier@crivier.qc.ca","Générale","Privé","Secondaire","Estrie","Français","144501","Collège Rivier","Benoit Hélie","343, rue St-Jacques Nord","Coaticook (Québec)","J1A 2R2"
"École Gendreau","Préscolaire et primaire (public)","Coaticook","(819) 849-7075","(819) 849-7075","(819) 849-7076","","Suzanne.Lanciaux@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751024","Commission scolaire des Hauts-Cantons","Sylvie Legault","102, rue Cutting","Coaticook (Québec)","J1A 2G4"
"École La Frontalière","Secondaire (public)","Coaticook","(819) 849-4825","(819) 849-4825","(819) 849-4334","http://lafrontaliere.cshc.qc.ca/","Carole.Moreau@cshc.qc.ca","Générale","Public","Secondaire","Estrie","Français","751005","Commission scolaire des Hauts-Cantons","Caroline Champeau","311, rue Saint-Paul Est","Coaticook (Québec)","J1A 1G1"
"École Monseigneur-Durand","Préscolaire et primaire (public)","Coaticook","(819) 849-7084","(819) 849-7084","(819) 849-7382","","Brigitte.Duteau@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751041","Commission scolaire des Hauts-Cantons","Hélène Blais","367, rue Saint-Paul Est","Coaticook (Québec)","J1A 1G1"
"École Sacré-Coeur","Préscolaire et primaire (public)","Coaticook","(819) 849-2749","(819) 849-2749","(819) 849-9475","","Carole.Labonte@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751027","Commission scolaire des Hauts-Cantons","Chantal Bélanger","211, rue Saint-Jean Baptiste","Coaticook (Québec)","J1A 2J4"
"École Saint-Luc","Préscolaire et primaire (public)","Coaticook","(819) 849-9106","(819) 849-9106","(819) 849-9964","","Michele.Genesse@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751030","Commission scolaire des Hauts-Cantons","Sylvie Legault","1186, chemin de Baldwin Mills-Barnston","Coaticook (Québec)","J1A 2S4"
"École Louis-Saint-Laurent","Préscolaire et primaire (public)","Compton","(819) 849-7803","(819) 849-7803","(819) 835-0731","","Carole.Mcduff@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751039","Commission scolaire des Hauts-Cantons","Normand Lapointe","6835, route Louis-S.-St-Laurent","Compton (Québec)","J0B 1L0"
"École Notre-Dame-de-la-Paix","Préscolaire et primaire (public)","Cookshire-Eaton","(819) 822-5581","(819) 822-5581","(819) 837-0399","http://www.csrs.qc.ca/etablissements","nddelapaix@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752048","Commission scolaire de la Région-de-Sherbrooke","Patrick Levasseur","51, chemin Jordan Hill","Cookshire-Eaton (Québec)","J0B 2A0"
"École primaire de Cookshire","Préscolaire et primaire (public)","Cookshire-Eaton","(819) 875-3785","(819) 875-3785","(819) 875-1168","http://cookshire.etsb.qc.ca/","vachons@etsb.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Anglais","883005","Commission scolaire Eastern Townships","Cora Macleod","95, rue du Parc","Cookshire-Eaton (Québec)","J0B 1M0"
"École primaire de Sawyerville","Préscolaire et primaire (public)","Cookshire-Eaton","(819) 889-2263","(819) 889-2263","(819) 889-1114","http://sawyerville.etsb.qc.ca/","humphreyl@etsb.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Anglais","883016","Commission scolaire Eastern Townships","Norma Humphrey","51, rue Cookshire","Cookshire-Eaton (Québec)","J0B 3A0"
"École Saint-Camille","Préscolaire et primaire (public)","Cookshire-Eaton","(819) 875-5556","(819) 875-5556","(819) 875-3368","","Lucie.Spooner@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751051","Commission scolaire des Hauts-Cantons","Marielle Genest","150, rue Bibeau","Cookshire-Eaton (Québec)","J0B 1M0"
"Centre d'éducation des adultes Monseigneur-Beaudoin-Les Sources","Éducation des adultes (public)","Saint-Georges","(418) 228-5541","(418) 228-5541","(418) 226-2460","http://www.csbe.qc.ca","eabeaudoin@csbe.qc.ca","Générale","Public","Éducation des adultes","Chaudière-Appalaches","Anglais, Français","823361","Commission scolaire de la Beauce-Etchemin","Mario Bergeron","1600, 1re Avenue Ouest","Saint-Georges (Québec)","G5Y 3N3"
"École de la Haute-Beauce","Préscolaire, primaire et secondaire (public)","La Guadeloupe","(418) 228-5541","(418) 228-5541","(418) 459-3380","http://www.csbe.qc.ca/dbweb/scripto.exe?function=validation3&resultat=364632&rwd=371122","guadeloupe@csbe.qc.ca","Générale","Public","Préscolaire, Primaire, Secondaire","Chaudière-Appalaches","Français","823093","Commission scolaire de la Beauce-Etchemin","Simon Fortier","427, 11e Rue Ouest","La Guadeloupe (Québec)","G0M 1G0"
"École Masson","Préscolaire et primaire (public)","Danville","(819) 847-1610","(819) 847-1610","(819) 839-2468","http://www.csdessommets.qc.ca/ecoles/masson/index.html","masson@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753007","Commission scolaire des Sommets","Daniel Champagne","30, rue du Collège","Danville (Québec)","J0A 1A0"
"École primaire Asbestos-Danville-Shipton","Préscolaire et primaire (public)","Danville","(819) 839-2352","(819) 839-2352","(819) 839-2352","http://ads.etsb.qc.ca/","bachandj@etsb.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Anglais","883001","Commission scolaire Eastern Townships","Kirk Robinson","217, rue Water","Danville (Québec)","J0A 1A0"
"École Sancta-Maria","Préscolaire et primaire (public)","Dixville","(819) 849-3771","(819) 849-3771","(819) 849-2451","","Michele.Genesse@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751032","Commission scolaire des Hauts-Cantons","Louise Dupuis","290, rue Parker","Dixville (Québec)","J0B 1P0"
"École Notre-Dame-du-Paradis","Préscolaire et primaire (public)","Dudswell","(819) 832-1734","(819) 832-1734","(819) 887-6083","","Kim.Munkittrick@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751067","Commission scolaire des Hauts-Cantons","Kathy Lapointe","184, rue Principale","Dudswell (Québec)","J0B 2L0"
"Centre de formation professionnelle du Haut-Saint-François","Formation professionnelle (public)","East Angus","(819) 832-3637","(819) 832-3637","(819) 832-4480","","Claude.Roy@cshc.qc.ca","Professionnelle","Public","Formation professionnelle","Estrie","Français","751421","Commission scolaire des Hauts-Cantons","Annie Gagnon","188, rue Kennedy","East Angus (Québec)","J0B 1R0"
"Centre de formation professionnelle le Granit et du Haut-Saint-François","Formation professionnelle (public)","Lac-Mégantic","(819) 583-5773","(819) 583-5773","(819) 583-6144","http://legranit.cshc.qc.ca/","Johanne.Mercier@cshc.qc.ca","Professionnelle","Public","Formation professionnelle","Estrie","Français","751422","Commission scolaire des Hauts-Cantons","Annie Gagnon","3409, rue Laval","Lac-Mégantic (Québec)","G6B 1A5"
"École du Parchemin","Préscolaire et primaire (public)","East Angus","(819) 832-2477","(819) 832-2477","(819) 832-2478","","Micheline.Boucher@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751047","Commission scolaire des Hauts-Cantons","Angèle Desgagnés","162, rue Saint-Jean Est","East Angus (Québec)","J0B 1R0"
"Polyvalente Louis-Saint-Laurent","Secondaire (public)","East Angus","(819) 832-2471","(819) 832-2471","(819) 832-1758","http://louisstlaurent.cshc.qc.ca/","Annie.Rodrigue@cshc.qc.ca","Générale","Public","Secondaire","Estrie","Français","751007","Commission scolaire des Hauts-Cantons","Claude D. Giguère","188, rue Kennedy","East Angus (Québec)","J0B 1R0"
"École Notre-Dame-de-Toutes-Aides et Saint-Pie-X","Préscolaire et primaire (public)","Saint-Malo","(819) 849-7280","(819) 849-7280","(819) 658-2212","","Caroline.Pilote@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751036","Commission scolaire des Hauts-Cantons","Normand Lapointe","127, rue Principale","Saint-Malo (Québec)","J0B 2Y0"
"École du Val-de-Grâce","Préscolaire et primaire (public)","Eastman","(819) 847-1610","(819) 847-1610","(450) 297-0282","","valdegrace@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753036","Commission scolaire des Sommets","Robert Gauvin","500, rue Principale","Eastman (Québec)","J0E 1P0"
"École Notre-Dame-de-Lorette","Préscolaire et primaire (public)","La Patrie","(819) 875-2149","(819) 875-2149","(819) 888-2873","","Micheline.Poulin@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751063","Commission scolaire des Hauts-Cantons","Diane Robillard","44, rue Notre-Dame Ouest","La Patrie (Québec)","J0B 1Y0"
"École des Monts-et-Lacs","Préscolaire et primaire (public)","Lac-Drolet","(819) 583-0365","(819) 583-0365","(819) 549-1141","","Diane.Corriveau@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751080","Commission scolaire des Hauts-Cantons","Annie Deslongchamps","687, rue Dumas","Lac-Drolet (Québec)","G0Y 1C0"
"Centre d'études collégiales de Lac-Mégantic","Collégial (public)","Lac-Mégantic","(819) 583-5432","(819) 583-5432","(819) 583-3588","http://www.cec.lacmegantic.qc.ca","ceclm@cegepbceapp.qc.ca","Technique Préuniversitaire","Public","Collégial","Estrie","Français","937001","Cégep Beauce-Appalaches","","3800, rue Cousineau","Lac-Mégantic (Québec)","G6B 2A3"
"École Notre-Dame-de-Fatima","Préscolaire et primaire (public)","Lac-Mégantic","(819) 583-1086","(819) 583-1086","(819) 583-4114","","Sonia.Therrien@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751074","Commission scolaire des Hauts-Cantons","Éric Croteau","6381, rue Notre-Dame","Lac-Mégantic (Québec)","G6B 2M9"
"Maison familiale rurale de Lac-Mégantic","Secondaire (public)","Lac-Mégantic","(819) 583-1212","(819) 583-1212","(819) 583-3330","http://www.mfrregiondemegantic.qc.ca","jmercier@cshc.qc.ca","Générale","Public","Secondaire","Estrie","Français","751009","Commission scolaire des Hauts-Cantons","Chantal Vigneault","4790, rue Dollard","Lac-Mégantic (Québec)","G6B 1G6"
"Polyvalente Montignac","Secondaire (public)","Lac-Mégantic","(819) 583-3023","(819) 583-3023","(819) 583-0890","http://montignac.cshc.qc.ca/","Suzanne.Stewart@cshc.qc.ca","Générale","Public","Secondaire","Estrie","Français","751006","Commission scolaire des Hauts-Cantons","Patricia Richer","3409, rue Laval","Lac-Mégantic (Québec)","G6B 1A5"
"École de la Feuille-d'Or","Préscolaire et primaire (public)","Lambton","(819) 583-5262","(819) 583-5262","(418) 486-7653","","Johanne.Bedard@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751086","Commission scolaire des Hauts-Cantons","Diane Gaudreau","215, rue de l'Aréna","Lambton (Québec)","G0M 1H0"
"École Saint-Laurent","Primaire (public)","Lawrenceville","(819) 847-1610","(819) 847-1610","(450) 535-6768","","stlaurent@csdessommets.qc.ca","Générale","Public","Primaire","Estrie","Français","753066","Commission scolaire des Sommets","Paul Lessard","1561, rue Principale","Lawrenceville (Québec)","J0E 1W0"
"Centre de formation professionnelle de Memphrémagog","Formation professionnelle (public)","Magog","(819) 847-1610","(819) 847-1610","(819) 843-2953","","cifi@csdessommets.qc.ca","Professionnelle","Public","Formation professionnelle","Estrie","Français","753402","Commission scolaire des Sommets","Daniel Guillot","520, boulevard Poirier","Magog (Québec)","J1X 0A1"
"École Brassard-Saint-Patrice","Préscolaire et primaire (public)","Magog","(819) 847-1610","(819) 847-1610","(819) 868-4176","http://www.csdessommets.qc.ca/ecoles/PATRICE/default.htm","stpatrice@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753021","Commission scolaire des Sommets","Sylvie Boisvert","265, rue Saint-Patrice Ouest","Magog (Québec)","J1X 1W4"
"École des Deux-Soleils","Préscolaire et primaire (public)","Magog","(819) 847-1610","(819) 847-1610","(819) 868-4173","","les2soleils@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753030","Commission scolaire des Sommets","Linda Lacasse","495, rue Gérin","Magog (Québec)","J1X 4B1"
"École primaire Montessori","Préscolaire et primaire (privé)","Magog","(819) 769-0963","(819) 769-0963","","http://www.monecoleprivee.com","montessorimagog@gmail.com","Générale","Privé","Préscolaire, Primaire","Estrie","Français","605501","École primaire Montessori","Sylvie Des Rosiers","25, chemin Roy","Magog (Québec)","J1X 0N4"
"École primaire Princess Elizabeth","Préscolaire et primaire (public)","Magog","(819) 843-4847","(819) 843-4847","(819) 868-1580","http://princesselizabeth.etsb.qc.ca/","gendreaus@etsb.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Anglais","883015","Commission scolaire Eastern Townships","Elaine Baylis-Creary","120, rue Bellevue","Magog (Québec)","J1X 3H2"
"École Sainte-Marguerite","Préscolaire et primaire (public)","Magog","(819) 847-1610","(819) 847-1610","(819) 843-2831","http://www.station05.qc.ca/css/ecoles/stmarg/accueil.htm","stemarguerite@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753035","Commission scolaire des Sommets","Marise Cotnoir","295, rue Saint-David","Magog (Québec)","J1X 2Z8"
"École Saint-Jean-Bosco","Préscolaire et primaire (public)","Magog","(819) 847-1610","(819) 847-1610","(819) 843-4717","","stjbosco@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753022","Commission scolaire des Sommets","Yvan Demers","63, Jean-Paul II","Magog (Québec)","J1X 1E4"
"École Saint-Pie-X","Préscolaire et primaire (public)","Magog","(819) 847-1610","(819) 847-1610","(819) 843-4016","http://www.csdessommets.qc.ca/ecoles/piex/princ.htm","stpiex@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753033","Commission scolaire des Sommets","Lise Couture","176, rue Saint-Alphonse Sud","Magog (Québec)","J1X 3T6"
"École secondaire de la Ruche","Secondaire (public)","Magog","(819) 847-1610","(819) 847-1610","(819) 843-9027","http://www.ecoledelaruche.qc.ca/","laruche@csdessommets.qc.ca","Générale","Public","Secondaire","Estrie","Français","753027","Commission scolaire des Sommets","Martin Riendeau","1255, boulevard des Étudiants","Magog (Québec)","J1X 3Y6"
"École de Sainte-Edwidge & Ligugé","Préscolaire et primaire (public)","Sainte-Edwidge-de-Clifton","(819) 849-9121","(819) 849-9121","(819) 849-9122","","Caroline.Pilote@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751037","Commission scolaire des Hauts-Cantons","Louise Dupuis","1427,  chemin Favreau","Sainte-Edwidge-de-Clifton (Québec)","J0B 2R0"
"École de la Source","Préscolaire et primaire (public)","Nantes","(819) 583-4476","(819) 583-4476","(819) 547-5627","","Melanie.Boulet@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751091","Commission scolaire des Hauts-Cantons","Marcel Boulanger","1249, rue Principale","Nantes (Québec)","G0Y 1G0"
"École primaire de North Hatley","Préscolaire et primaire (public)","North Hatley","(819) 842-2491","(819) 842-2491","(819) 842-2491","http://northhatley.etsb.qc.ca/","loachv@etsb.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Anglais","883012","Commission scolaire Eastern Townships","Elaine Baylis-Creary","110, rue School","North Hatley (Québec)","J0B 2C0"
"École de la Voie-Lactée","Préscolaire et primaire (public)","Notre-Dame-des-Bois","(819) 875-3033","(819) 875-3033","(819) 888-2366","","Chantal.Carrier@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751095","Commission scolaire des Hauts-Cantons","Marlène Corriveau","27, route de l'Église","Notre-Dame-des-Bois (Québec)","J0B 2E0"
"École du Baluchon","Préscolaire et primaire (public)","Potton","(819) 847-1610","(819) 847-1610","(450) 292-5717","","lebaluchon@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753028","Commission scolaire des Sommets","Lise Couture","330, rue Principale","Potton (Québec)","J0E 1X0"
"École primaire de Mansonville","Préscolaire, primaire et secondaire (public)","Potton","(450) 292-5622","(450) 292-5622","(450) 292-0174","http://teacherweb.com/QC/MansonvilleElementarySchool/HomePage/sdhp1.aspx","gravest@etsb.qc.ca","Générale","Public","Préscolaire, Primaire, Secondaire","Estrie","Anglais","883011","Commission scolaire Eastern Townships","Renalee Gore","5, rue Marion Atwell","Potton (Québec)","J0E 1X0"
"École Notre-Dame-de-Montjoie","Préscolaire et primaire (public)","Racine","(819) 847-1610","(819) 847-1610","(450) 532-5209","","ndmontjoie@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753061","Commission scolaire des Sommets","Paul Lessard","138, chemin Brompton","Racine (Québec)","J0E 1Y0"
"École du Plein-Coeur","Préscolaire et primaire (public)","Richmond","(819) 847-1610","(819) 847-1610","(819) 826-2582","","sacrecoeur@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753058","Commission scolaire des Sommets","Caroline Monette","555, 7 avenue nord","Richmond (Québec)","J0B 2H0"
"École primaire Saint-Françis","Préscolaire et primaire (public)","Richmond","(819) 826-3737","(819) 826-3737","(819) 826-3738","http://stfrancis.etsb.qc.ca/","kendallp@etsb.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Anglais","883018","Commission scolaire Eastern Townships","Gail Richards-Kelso","355, rue Collège Sud","Richmond (Québec)","J0B 2H0"
"École secondaire régionale de Richmond","Secondaire (public)","Richmond","(819) 826-3702","(819) 826-3702","(819) 826-3705","http://richmondhigh.etsb.qc.ca/","coxw@etsb.qc.ca","Générale","Public","Secondaire","Estrie","Anglais","883024","Commission scolaire Eastern Townships","Isabelle Beaulac","375, rue Armstrong","Richmond (Québec)","J0B 2H0"
"École Notre-Dame-de-Lourdes","Préscolaire et primaire (public)","Saint-Adrien","(819) 847-1610","(819) 847-1610","(819) 828-3502","","ndlourdes@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753009","Commission scolaire des Sommets","Alexandre Néron","1598, rue Principale","Saint-Adrien (Québec)","J0A 1C0"
"École des Monts-Blancs","Préscolaire et primaire (public)","Saint-Augustin-de-Woburn","(819) 583-3665","(819) 583-3665","(819) 544-9453","","Chantal.Carrier@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751094","Commission scolaire des Hauts-Cantons","Marlène Corriveau","571, rue Saint-Augustin","Saint-Augustin-de-Woburn (Québec)","G0Y 1R0"
"École Christ-Roi","Préscolaire et primaire (public)","Saint-Camille","(819) 847-1610","(819) 847-1610","(819) 828-2404","","christroi@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753004","Commission scolaire des Sommets","Alexandre Néron","149, rue Miquelon","Saint-Camille (Québec)","J0A 1G0"
"École Notre-Dame-du-Sourire","Préscolaire et primaire (public)","Saint-Claude","(819) 847-1610","(819) 847-1610","(819) 845-5334","http://www.csdessommets.qc.ca/ecoles/sourire/index.htm","ndsourire@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753062","Commission scolaire des Sommets","Marc Poirier","301, route de l'Église","Saint-Claude (Québec)","J0B 2N0"
"École du Jardin-des-Lacs","Préscolaire et primaire (public)","Saint-Denis-de-Brompton","(819) 822-5555","(819) 822-5555","(819) 846-4307","http://www.csrs.qc.ca/etablissements","jardindeslacs@csrs.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","752046","Commission scolaire de la Région-de-Sherbrooke","Luc Michaud","1050, rue Alfred-Lessard","Saint-Denis-de-Brompton (Québec)","J0B 2P0"
"École de l'Arc-en-Ciel","Préscolaire et primaire (public)","Saint-François-Xavier-de-Brompton","(819) 847-1610","(819) 847-1610","(819) 845-7860","","arcenciel@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753051","Commission scolaire des Sommets","Adel Habak","177, rue de l'Église","Saint-François-Xavier-de-Brompton (Québec)","J0B 2V0"
"École Notre-Dame-de-l'Assomption","Préscolaire et primaire (public)","Saint-Georges-de-Windsor","(819) 847-1610","(819) 847-1610","(819) 828-3500","http://csdessommets.qc.ca/ecoles/ndassomption/accueil.htm","ndassomption@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753008","Commission scolaire des Sommets","Daniel Champagne","483, rue Principale","Saint-Georges-de-Windsor (Québec)","J0A 1J0"
"École des Trois-Cantons","Préscolaire et primaire (public)","Saint-Isidore-de-Clifton","(819) 875-5643","(819) 875-5643","(819) 658-9003","","Francine.Despres@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751058","Commission scolaire des Hauts-Cantons","Kathy Lapointe","25, rue de l'Église","Saint-Isidore-de-Clifton (Québec)","J0B 2X0"
"École du Sud-de-la-Beauce","Préscolaire et primaire (public)","Saint-Gédéon-de-Beauce","(418) 228-5541","(418) 228-5541","(418) 582-3092","http://www.csbe.qc.ca/nazareth/index.htm","joyeux-compagnons@csbe.qc.ca","Générale","Public","Préscolaire, Primaire","Chaudière-Appalaches","Français","823089","Commission scolaire de la Beauce-Etchemin","Isabelle Poulin","119, 3e Avenue","Saint-Gédéon-de-Beauce (Québec)","G0M 1T0"
"École de Saint-Romain","Préscolaire et primaire (public)","Saint-Romain","(819) 583-1150","(819) 583-1150","(418) 486-2718","","Melanie.Boulet@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751088","Commission scolaire des Hauts-Cantons","Diane Gaudreau","105, rue du Couvent","Saint-Romain (Québec)","G0Y 1L0"
"Maison familiale rurale du Granit","Secondaire (public)","Saint-Romain","(819) 583-5910","(819) 583-5910","(418) 486-2718","http://mfrgranit.com","Suzanne.Royer@cshc.qc.ca","Générale","Public","Secondaire","Estrie","Français","751008","Commission scolaire des Hauts-Cantons","Michelle Paradis","105, rue du Couvent","Saint-Romain (Québec)","G0Y 1L0"
"École Capitaine-Luc-Fortin","Préscolaire et primaire (public)","Henryville","(450) 515-8080","(450) 515-8080","(450) 244-5132","http://sebastien.e.csdhr.qc.ca","epstjosephstsebastien@csdhr.qc.ca","Générale","Public","Préscolaire, Primaire","Montérégie","Français","863030","Commission scolaire des Hautes-Rivières","Dominique Benoît","215, rue Champagnat","Henryville (Québec)","J0J 1E0"
